 Year Mon  Area
 2012  4  720.3
 2012  5 1064.2
 2012  6  745.6
 2012  7 1283.0
 2012  8  712.2
 2012  9  701.9
 2012 10  861.2
 2012 11  812.0
 2012 12  476.5
 2013  1  998.5
 2013  2  437.0
 2013  3  623.7
 2013  4 1081.3
 2013  5 1174.0
 2013  6  628.1
 2013  7  661.2
 2013  8  610.1
 2013  9  313.2
 2013 10 1143.0
 2013 11 1520.9
 2013 12 1128.6
 2014  1 1499.1
 2014  2 2015.2
 2014  3 1026.5
 2014  4 1120.9
 2014  5  950.6
 2014  6  864.3
 2014  7 1205.4
 2014  8  791.2
 2014  9 1112.5
 2014 10 1767.2
 2014 11 1218.9
 2014 12 1440.2
 2015  1  966.9
 2015  2  553.0
 2015  3  512.8
 2015  4  703.3
 2015  5  625.0
 2015  6  840.5
 2015  7  514.8
 2015  8  715.9
 2015  9  593.6
 2015 10  464.7
 2015 11  397.1
 2015 12  569.0
 2016  1  366.7
 2016  2  381.9
 2016  3  296.3
 2016  4  566.5
 2016  5  502.6
 2016  6  220.7
 2016  7  334.6
 2016  8  282.7
 2016  9  365.6
 2016 10  291.7
 2016 11   96.1
 2016 12   98.0
 2017  1  175.2
 2017  2  103.0
 2017  3   97.5
 2017  4  348.6
 2017  5   75.5
 2017  6  138.6
 2017  7  265.3
 2017  8  346.4
 2017  9  830.7
 2017 10  167.1
 2017 11   26.6
 2017 12   31.2
 2018  1    8.6
 2018  2  109.5
 2018  3    2.7
 2018  4   28.0
 2018  5   33.9
 2018  6   63.0
 2018  7    0.5
 2018  8   21.2
 2018  9    1.9
 2018 10    7.7
 2018 11   11.2
 2018 12    4.5
 2019  1   33.4
 2019  2    0.0
 2019  3   53.7
 2019  4  186.7
 2019  5  173.9
 2019  6    1.9
 2019  7    0.9
 2019  8    0.5
 2019  9    1.4
 2019 10    0.0
 2019 11    0.9
 2019 12    2.3
 2020  1   22.1
 2020  2    1.4
 2020  3    1.4
 2020  4    7.5
 2020  5    1.8
 2020  6   42.9
 2020  7   44.5
 2020  8   36.1
 2020  9    0.9
 2020 10   91.7
 2020 11  446.4
 2020 12  324.3
 2021  1   63.7
 2021  2   45.7
 2021  3   52.4
 2021  4  110.8
 2021  5  209.1
 2021  6  178.3
 2021  7  264.6
 2021  8  126.9
 2021  9  485.3
 2021 10  494.7
 2021 11  326.7
 2021 12  632.7
 2022  1  621.0
 2022  2  803.5
 2022  3  849.5
 2022  4 1163.9
 2022  5  929.9
 2022  6  602.0
 2022  7 1043.7
 2022  8  677.0
 2022  9  902.5
 2022 10  737.9
 2022 11  702.6
 2022 12 1326.4
 2023  1 1846.2
 2023  2 1278.5
 2023  3 1013.2
 2023  4  802.0
 2023  5 1356.0
 2023  6 1248.3
 2023  7 1870.6
 2023  8  967.6
 2023  9  915.8
 2023 10  526.1
